customer_id,plan_price,daily_limit_gb,total_monthly_gb,used_data_gb,unused_data_gb,exhaustion_days,booster_count,booster_spend,total_monthly_spend,recharge_delay_days,actual_scenario,churn_risk_score,churn_risk_label
CUST_0000,389,2.0,60.0,54.5,5.5,2,0,0,389,1,0,0.04,Low
CUST_0001,389,2.0,60.0,46.6,13.4,2,0,0,389,0,0,0.03,Low
CUST_0002,389,2.0,60.0,60.0,0.0,19,0,0,389,4,2,0.87,High
CUST_0003,389,2.0,60.0,87.5,0.0,27,8,152,541,0,4,0.89,High
CUST_0004,389,2.0,60.0,48.0,12.0,1,0,0,389,0,0,0.05,Low
CUST_0005,389,2.0,60.0,51.1,8.9,1,0,0,389,1,0,0.05,Low
CUST_0006,389,2.0,60.0,49.6,10.4,2,0,0,389,1,0,0.04,Low
CUST_0007,389,2.0,60.0,34.8,25.2,0,0,0,389,2,1,0.61,Medium
CUST_0008,389,2.0,60.0,60.0,0.0,20,0,0,389,4,2,0.86,High
CUST_0009,389,2.0,60.0,83.4,0.0,23,7,133,522,0,4,0.89,High
CUST_0010,389,2.0,60.0,47.4,12.6,2,0,0,389,1,0,0.05,Low
CUST_0011,389,2.0,60.0,54.1,5.9,1,0,0,389,1,0,0.05,Low
CUST_0012,389,2.0,60.0,25.2,34.8,0,0,0,389,1,1,0.57,Medium
CUST_0013,389,2.0,60.0,68.1,0.0,9,4,76,465,0,3,0.9,High
CUST_0014,389,2.0,60.0,67.3,0.0,13,5,95,484,0,3,0.82,High
CUST_0015,389,2.0,60.0,87.7,0.0,26,8,152,541,0,4,0.85,High
CUST_0016,389,2.0,60.0,60.0,0.0,20,0,0,389,5,2,0.91,High
CUST_0017,389,2.0,60.0,48.0,12.0,0,0,0,389,0,0,0.05,Low
CUST_0018,389,2.0,60.0,29.9,30.1,0,0,0,389,2,1,0.63,Medium
CUST_0019,389,2.0,60.0,70.1,0.0,8,5,95,484,0,3,0.84,High
CUST_0020,389,2.0,60.0,46.2,13.8,2,0,0,389,0,0,0.03,Low
CUST_0021,389,2.0,60.0,45.6,14.4,2,0,0,389,1,0,0.04,Low
CUST_0022,389,2.0,60.0,69.5,0.0,10,5,95,484,0,3,0.85,High
CUST_0023,389,2.0,60.0,52.1,7.9,0,0,0,389,0,0,0.05,Low
CUST_0024,389,2.0,60.0,68.5,0.0,8,5,95,484,0,3,0.88,High
CUST_0025,389,2.0,60.0,46.1,13.9,2,0,0,389,1,0,0.05,Low
CUST_0026,389,2.0,60.0,50.1,9.9,1,0,0,389,0,0,0.05,Low
CUST_0027,389,2.0,60.0,38.9,21.1,0,0,0,389,0,1,0.71,High
CUST_0028,389,2.0,60.0,46.6,13.4,1,0,0,389,1,0,0.04,Low
CUST_0029,389,2.0,60.0,60.0,0.0,17,0,0,389,5,2,0.85,High
